Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,0.25,0.005,0.0001
Mean Reversion,0.3,0.41,0.66,-0.02,4.25,0.43,10,0.0199,ROKU,0.25,0.005,0.0001
Momentum,0.0,0.0,0.66,-0.2,2.2,0.43,19,-0.01,ROKU,0.25,0.005,0.0001
Combined,0.42,0.23,0.21,0.07,0.75,0.06,23,-0.0024,ROKU,0.25,0.005,0.0001
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,0.25,0.005,0.0001
Mean Reversion,0.52,0.71,0.41,0.14,0.55,0.42,11,-0.0136,LVS,0.25,0.005,0.0001
Momentum,-0.24,-0.3,0.41,-0.17,1.07,0.45,19,0.002,LVS,0.25,0.005,0.0001
Combined,0.47,0.23,0.12,0.05,0.3,0.06,22,-0.0021,LVS,0.25,0.005,0.0001
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,0.25,0.005,0.0001
Mean Reversion,0.18,0.24,0.69,-0.11,1.34,0.38,5,0.004,U,0.25,0.005,0.0001
Momentum,-0.07,-0.08,0.7,-0.25,1.82,0.42,12,-0.0,U,0.25,0.005,0.0001
Combined,0.21,0.1,0.27,0.02,0.54,0.06,14,-0.0093,U,0.25,0.005,0.0001
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,0.25,0.005,0.0001
Mean Reversion,0.33,0.51,0.78,-0.04,1.65,0.41,13,-0.0255,RUN,0.25,0.005,0.0001
Momentum,-0.23,-0.29,0.78,-0.39,3.5,0.44,21,0.0108,RUN,0.25,0.005,0.0001
Combined,0.11,0.06,0.33,-0.02,1.45,0.07,16,-0.0059,RUN,0.25,0.005,0.0001
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,0.25,0.005,0.0001
Mean Reversion,0.55,0.71,0.52,0.16,1.05,0.36,5,0.005,DOCN,0.25,0.005,0.0001
Momentum,-0.52,-0.63,0.59,-0.38,1.41,0.39,13,0.0084,DOCN,0.25,0.005,0.0001
Combined,-0.31,-0.16,0.23,-0.09,0.88,0.09,14,0.0025,DOCN,0.25,0.005,0.0001
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,0.25,0.005,0.0001
Mean Reversion,0.29,0.35,0.19,0.04,0.56,0.41,5,0.0024,SPY,0.25,0.005,0.0001
Momentum,0.35,0.41,0.19,0.05,0.42,0.48,13,0.006,SPY,0.25,0.005,0.0001
Combined,0.65,0.47,0.09,0.05,0.27,0.18,12,0.002,SPY,0.25,0.005,0.0001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,0.25,0.005,0.0001
Mean Reversion,-0.84,-1.12,0.29,-0.25,0.86,0.4,5,-0.0014,AAPL,0.25,0.005,0.0001
Momentum,0.47,0.59,0.29,0.1,0.9,0.45,13,-0.0038,AAPL,0.25,0.005,0.0001
Combined,-0.48,-0.2,0.12,-0.06,0.43,0.03,16,-0.0031,AAPL,0.25,0.005,0.0001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.25,0.005,0.0001
Mean Reversion,-0.65,-0.83,0.28,-0.2,0.89,0.4,4,0.0056,MSFT,0.25,0.005,0.0001
Momentum,0.11,0.13,0.28,-0.01,0.64,0.45,15,-0.015,MSFT,0.25,0.005,0.0001
Combined,-0.6,-0.22,0.14,-0.09,0.44,0.05,13,-0.0166,MSFT,0.25,0.005,0.0001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.25,0.005,0.0001
Mean Reversion,-0.09,-0.12,0.3,-0.07,1.43,0.39,7,0.0211,GOOGL,0.25,0.005,0.0001
Momentum,0.08,0.1,0.3,-0.02,1.12,0.46,15,-0.0121,GOOGL,0.25,0.005,0.0001
Combined,-0.12,-0.06,0.1,-0.02,0.42,0.06,12,-0.0054,GOOGL,0.25,0.005,0.0001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.25,0.005,0.0001
Mean Reversion,-0.71,-0.91,0.49,-0.38,1.27,0.38,7,0.0118,NVDA,0.25,0.005,0.0001
Momentum,0.85,1.24,0.5,0.35,3.2,0.46,11,-0.0147,NVDA,0.25,0.005,0.0001
Combined,0.01,0.0,0.13,-0.01,0.23,0.01,12,-0.0017,NVDA,0.25,0.005,0.0001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.25,0.005,0.0001
Mean Reversion,-0.0,-0.0,0.33,-0.05,1.24,0.41,11,-0.0001,AMZN,0.25,0.005,0.0001
Momentum,0.01,0.02,0.33,-0.05,0.62,0.43,22,-0.0044,AMZN,0.25,0.005,0.0001
Combined,0.16,0.07,0.1,0.01,0.26,0.05,20,0.0033,AMZN,0.25,0.005,0.0001
