Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.5,0.02,0.0005
Mean Reversion,-0.37,-0.51,0.28,-0.13,0.8,0.41,25,0.0088,MSFT,0.5,0.02,0.0005
Momentum,0.06,0.08,0.29,-0.02,0.44,0.52,136,0.0014,MSFT,0.5,0.02,0.0005
Combined,-0.19,-0.15,0.17,-0.05,0.4,0.14,123,0.0004,MSFT,0.5,0.02,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.5,0.02,0.0005
Mean Reversion,-0.43,-0.6,0.3,-0.16,0.99,0.4,21,0.0084,GOOGL,0.5,0.02,0.0005
Momentum,-0.76,-1.04,0.31,-0.25,0.86,0.48,155,-0.0007,GOOGL,0.5,0.02,0.0005
Combined,-0.95,-0.76,0.17,-0.16,0.84,0.12,140,-0.0006,GOOGL,0.5,0.02,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.5,0.02,0.0005
Mean Reversion,-1.07,-1.44,0.5,-0.48,1.09,0.4,13,0.0104,NVDA,0.5,0.02,0.0005
Momentum,0.65,1.0,0.52,0.22,1.5,0.51,179,0.0042,NVDA,0.5,0.02,0.0005
Combined,-0.3,-0.26,0.33,-0.14,0.76,0.14,160,0.0006,NVDA,0.5,0.02,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.5,0.02,0.0005
Mean Reversion,0.05,0.07,0.33,-0.04,0.89,0.44,46,0.0054,AMZN,0.5,0.02,0.0005
Momentum,-0.08,-0.12,0.34,-0.08,0.72,0.48,157,0.0021,AMZN,0.5,0.02,0.0005
Combined,0.02,0.02,0.19,-0.01,0.46,0.14,156,0.0018,AMZN,0.5,0.02,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.5,0.02,0.0005
Mean Reversion,-0.52,-0.69,0.19,-0.11,0.56,0.38,17,-0.0045,SPY,0.5,0.02,0.001
Momentum,-0.07,-0.09,0.2,-0.03,0.81,0.52,95,0.0011,SPY,0.5,0.02,0.001
Combined,-0.59,-0.49,0.1,-0.06,0.49,0.11,96,-0.0002,SPY,0.5,0.02,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,0.5,0.02,0.001
Mean Reversion,-0.54,-0.74,0.29,-0.18,0.71,0.41,21,0.0089,AAPL,0.5,0.02,0.001
Momentum,0.83,1.15,0.31,0.23,0.73,0.52,118,0.0003,AAPL,0.5,0.02,0.001
Combined,0.1,0.07,0.19,0.0,0.31,0.15,116,-0.0002,AAPL,0.5,0.02,0.001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.5,0.02,0.001
Mean Reversion,-0.37,-0.51,0.28,-0.13,0.8,0.41,25,0.0088,MSFT,0.5,0.02,0.001
Momentum,0.06,0.08,0.29,-0.02,0.44,0.52,136,0.0014,MSFT,0.5,0.02,0.001
Combined,-0.19,-0.15,0.17,-0.05,0.4,0.14,123,0.0004,MSFT,0.5,0.02,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.5,0.02,0.001
Mean Reversion,-0.43,-0.6,0.3,-0.16,0.99,0.4,21,0.0084,GOOGL,0.5,0.02,0.001
Momentum,-0.76,-1.04,0.31,-0.25,0.86,0.48,155,-0.0007,GOOGL,0.5,0.02,0.001
Combined,-0.95,-0.76,0.17,-0.16,0.84,0.12,140,-0.0006,GOOGL,0.5,0.02,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.5,0.02,0.001
Mean Reversion,-1.07,-1.44,0.5,-0.48,1.09,0.4,13,0.0104,NVDA,0.5,0.02,0.001
Momentum,0.65,1.0,0.52,0.22,1.5,0.51,179,0.0042,NVDA,0.5,0.02,0.001
Combined,-0.3,-0.26,0.33,-0.14,0.76,0.14,160,0.0006,NVDA,0.5,0.02,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.5,0.02,0.001
Mean Reversion,0.05,0.07,0.33,-0.04,0.89,0.44,46,0.0054,AMZN,0.5,0.02,0.001
Momentum,-0.08,-0.12,0.34,-0.08,0.72,0.48,157,0.0021,AMZN,0.5,0.02,0.001
Combined,0.02,0.02,0.19,-0.01,0.46,0.14,156,0.0018,AMZN,0.5,0.02,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.5,0.02,0.001
Mean Reversion,-0.52,-0.69,0.19,-0.11,0.56,0.38,17,-0.0045,SPY,0.5,0.03,0.0005
Momentum,0.08,0.1,0.2,-0.0,0.66,0.52,60,0.0017,SPY,0.5,0.03,0.0005
Combined,-0.5,-0.36,0.09,-0.05,0.43,0.07,63,-0.0004,SPY,0.5,0.03,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,0.5,0.03,0.0005
Mean Reversion,-0.54,-0.74,0.29,-0.18,0.71,0.41,21,0.0089,AAPL,0.5,0.03,0.0005
Momentum,0.59,0.82,0.31,0.14,0.83,0.51,93,0.0008,AAPL,0.5,0.03,0.0005
Combined,-0.09,-0.07,0.19,-0.04,0.41,0.14,94,-0.001,AAPL,0.5,0.03,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.5,0.03,0.0005
Mean Reversion,-0.37,-0.51,0.28,-0.13,0.8,0.41,25,0.0088,MSFT,0.5,0.03,0.0005
Momentum,-0.02,-0.02,0.29,-0.05,0.56,0.51,94,-0.0008,MSFT,0.5,0.03,0.0005
Combined,-0.24,-0.19,0.17,-0.05,0.41,0.13,97,-0.0003,MSFT,0.5,0.03,0.0005
